system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000000_0,0.1449,0.043,0.06355,0.03595,0.2995,0.3478848,0.78566104,-0.64991045,0.47318808501566945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.96216092433623,10.161338252082173]}"
00000000000000000001_0,0.366,0.0689,0.095,0.1199,0.2417,-0.20454173,0.33683625,-0.43569943,0.21204733809761184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.21189714760331,9.728799442778623]}"
00000000000000000003_0,0.1793,0.0588,0.0863,0.0505,0.4188,0.4004347,0.78478587,-0.6582855,0.5699473774784475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.27494973198479,10.017697638151462]}"
00000000000000000004_0,0.1575,0.0283,0.0449,0.024,0.3626,0.39434725,0.87584066,-0.7796319,0.5728626194156492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.09385394498814,9.418162017530094]}"
00000000000000000005_0,0.24245,0.034,0.0568,0.0547,0.2608,0.036463,0.65324885,-0.64231735,0.3790925905483652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.71773390980916,9.955264725905154]}"
00000000000000000006_0,0.1438,0.02365,0.0483,0.0219,0.3602,0.42936504,0.8853703,-0.76352507,0.5752748993253587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.72464636321503,9.88232152483465]}"
00000000000000000007_0,0.1662,0.0381,0.053,0.0343,0.3431,0.3473395,0.81823,-0.7323908,0.5279234238608586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.30162969592314,10.006289034043144]}"
00000000000000000008_0,0.1245,0.0184,0.0343,0.0165,0.2942,0.40530214,0.8937882,-0.791172,0.5138152254640387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.01309082666396,9.487062799822061]}"
00000000000000000009_0,0.19155,0.0179,0.0372,0.02315,0.2835,0.19355854,0.8490135,-0.76800746,0.4841318840626093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.12970129910637,10.218111778038526]}"
0000000000000000000a_0,0.10715,0.047,0.0572,0.0386,0.21095,0.32631248,0.69064313,-0.57337314,0.3449069437099767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.97985773543338,10.156038191905868]}"
