system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000001_0,0.1312,0.0241,0.0344,0.0425,0.0929,-0.17090584,0.37223044,-0.45954436,0.1189801699467582,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.47617235562757,9.259070380712526]}"
00000000000000000002_0,0.1753,0.041,0.0763,0.0925,0.2446,0.16503929,0.4512014,-0.52446246,0.27254807720549556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.46700953972955,9.245775314507556]}"
00000000000000000003_0,0.227,0.0425,0.07,0.1042,0.1566,-0.1835245,0.20092025,-0.3821712,0.10331230408256073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.45775689230311,9.245236325337086]}"
00000000000000000004_0,0.1206,0.0256,0.0623,0.0585,0.4034,0.53969467,0.74669844,-0.7324458,0.5378417767940681,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50914052655475,9.210381692313248]}"
00000000000000000005_0,0.1229,0.0587,0.0797,0.0764,0.2032,0.24624348,0.453505,-0.43655002,0.2439712703469375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3269621869353,9.14103175237922]}"
00000000000000000006_0,0.0957,0.02905,0.0589,0.0742,0.3138,0.5326007,0.6175258,-0.68392813,0.4047297451667359,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.09977825158148,9.018411716096907]}"
00000000000000000007_0,0.10165,0.01925,0.0422,0.05225,0.33425,0.5336086,0.7296248,-0.7758002,0.47715736045941937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.10121555603608,9.013111655920602]}"
00000000000000000008_0,0.0807,0.022,0.0539,0.0636,0.3074,0.5841278,0.6571428,-0.701633,0.41986220446172595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.5125541246344,9.275599381940324]}"
00000000000000000009_0,0.0726,0.0219,0.0461,0.0655,0.2416,0.537874,0.57342887,-0.6795273,0.3272828775883094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.51120665170822,9.267604375911661]}"
0000000000000000000a_0,0.0741,0.0205,0.0419,0.0504,0.2666,0.56501323,0.68201894,-0.72836304,0.39694004158126106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.52872379974856,9.265448419229774]}"
0000000000000000000b_0,0.5235,0.5776,0.5424,0.5088,0.5989,0.06717747,0.0813397,-0.049504966,0.08406417948557007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.46611122444543,9.260777179752353]}"
